id,nickname,password_hash,created_at,last_login,active,role
1,admin,$2y$12$BZ6xwYAlf5/fxjvNE1i6Ue0bCoV3pp1xt9H.N91gQkysXkxZAmeeW,"2026-08-31 09:35:20","2026-08-31 09:37:36",1,admin
2,user1,$2y$12$RuhRxsK9EquAa/uH59mATuz1vsLVe..u/j1flAVJXa2geyG1Lrw3m,"2026-08-31 09:35:21",,1,user
3,user2,$2y$12$H9hHxVvF8azmBW6X0NwDOOox6HXpWxZ8yhy7Qec5KMkqRaYfJLJoq,"2026-08-31 09:35:21",,1,user
4,user3,$2y$12$vuG07JJkC8zQCPRoWcHKGO6CaCFSWlNGjbVo9P2nEoob7YA8xBwKm,"2026-08-31 09:35:21",,1,user
5,user4,$2y$12$ni.p4h4IUslxhaJMsdikQudInTIZ1WoI6rO6D/9CGgmT.NN5r4Hlq,"2026-08-31 09:35:21",,1,user
6,user5,$2y$12$0TaxQHwwflP9yCiXROI8C.F8zMIph91di/co3Y4fWEdY.P6w0fAke,"2026-08-31 09:35:22",,1,user
7,user6,$2y$12$JZ7KkFUgrKdbcGt3hRLS1eNYgIu8SLzdPBu5ic0bkB4y3rPA6CqDS,"2026-08-31 09:35:22",,1,user
8,user7,$2y$12$h5fS86hxwu/vgF6WKcPCYuleHrKHB/6Dj/2fxeRPBvbFuRxAzijz6,"2026-08-31 09:35:22",,1,user
9,user8,$2y$12$lp8aVbC07GNcu3m2RVHL1.gwGwjNrgIqVYO4d.x/HTrQKvKaqaqSW,"2026-08-31 09:35:22",,1,user
10,user9,$2y$12$xPSWSbufhvNTJFds7mfSp.bh27xygaBSSDx2ABfh7Td5uIOQAY5QO,"2026-08-31 09:35:23",,1,user
11,user10,$2y$12$DamTjKI9H7EOFp3QJgkcTuXZ/ix.LvjHcsCustJAmFVTTT4wBtPLu,"2026-08-31 09:35:23",,1,user
